"Country"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"
"Tajikistan"	7472819	7641630	7815949	7995062	8177809	8362745	8548651	8734951	8921343
"Tanzania"	44664231	46098591	47570902	49082997	50636595	52234869	53879957	55572201	57310019
"Thailand"	66881867	67208808	67530130	67843979	68143065	68416772	68657600	68863514	69037513
"Timor-Leste"	1092021	1109591	1131523	1156760	1184366	1212814	1240977	1268671	1296311
"Togo"	6330472	6502952	6679282	6859482	7042948	7228915	7416802	7606374	7797694
"Tonga"	103604	104137	104577	104951	105328	105782	106364	107122	108020
"Trinidad and Tobago"	1321618	1328100	1334788	1341588	1348248	1354493	1360092	1364962	1369125
"Tunisia"	10521834	10639931	10761467	10886668	11014558	11143908	11273661	11403248	11532127
"Turkey"	71339185	72326914	73409455	74569867	75787333	77030628	78271472	79512426	80745020
"Turkmenistan"	5007950	5087210	5174061	5267839	5366277	5466241	5565284	5662544	5758075
"Turks and Caicos Islands"	30245	30994	31731	32431	33108	33739	34339	34900	35446
"Tuvalu"	10441	10531	10628	10725	10819	10908	11001	11097	11192
"Uganda"	32771895	33915133	35093648	36306796	37553726	38833338	40144870	41487965	42862958
"Ukraine"	46053300	45870700	45706100	45593300	45489600	45271947	45154029	45004645	44831159
"United Arab Emirates"	7666393	8270684	8672475	8900453	9006263	9070867	9154302	9269612	9400145
"United Kingdom"	62276270	62766365	63258918	63700300	64128226	64613160	65128861	65595565	66022273
"United States"	306771529	309338421	311644280	313993272	316234505	318622525	321039839	323405935	325719178
"Upper middle income"	2422393813	2440543075	2459175685	2478491686	2498184210	2517979764	2537437057	2556921923	2576202556
"Uruguay"	3362755	3374415	3385624	3396777	3408005	3419546	3431552	3444006	3456750
"Uzbekistan"	27767400	28562400	29339400	29774500	30243200	30757700	31298900	31847900	32387200
"Vanuatu"	230785	236295	241871	247485	253142	258850	264603	270402	276244
"Venezuela, RB"	28587323	29028033	29463291	29893080	30317848	30738378	31155134	31568179	31977065
"Vietnam"	87565407	88472512	89436644	90451881	91497725	92544915	93571567	94569072	95540800
"Virgin Islands (U.S.)"	108405	108358	108292	108191	108044	107884	107710	107510	107268
"West Bank and Gaza"	3702218	3811102	3927051	4046901	4169506	4294682	4422143	4551566	4684777
"World"	6849569339	6932869743	7014983968	7099557649	7185137526	7271322821	7357559450	7444157356	7530360149
"Yemen, Rep."	22974929	23606779	24252206	24909969	25576322	26246327	26916207	27584213	28250420
"Zambia"	13456417	13850033	14264756	14699937	15153210	15620974	16100587	16591390	17094130
"Zimbabwe"	13810599	14086317	14386649	14710826	15054506	15411675	15777451	16150362	16529904
